Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
49,MAGO_7C,2010,spring,4/30/2010 21:32,5/1/2010 1:31,4/30/2010 12:32,4/30/2010 16:31,3.99,N2,NA,N,se_ak1,se_ak2,101.74
50,MAGO_7C,2010,spring,5/5/2010 7:15,5/5/2010 19:05,5/4/2010 22:15,5/5/2010 10:05,11.83,N3,NA,N,se_ak2,yakutat,40.91
51,MAGO_7C,2010,spring,5/7/2010 12:00,5/8/2010 3:41,5/7/2010 3:00,5/7/2010 18:41,15.69,N4,10.12,Y,yakutat,ugashik,1536.58
52,MAGO_7C,2010,fall,7/11/2010 4:16,7/12/2010 16:56,7/10/2010 19:16,7/12/2010 8:56,36.67,S1,1.53,Y,ugashik,humboldt,7029.58
53,MAGO_7C,2011,spring,5/1/2011 14:31,5/2/2011 15:05,5/1/2011 6:31,5/2/2011 7:05,24.57,N1,NA,N,humboldt,tofino,95.88
54,MAGO_7C,2011,spring,5/6/2011 14:58,NA,5/6/2011 6:58,NA,NA,N2,NA,NA,tofino,NA,NA
55,MAGO_7H,2008,fall,7/24/2008 21:05,7/28/2008 8:01,7/24/2008 12:05,7/28/2008 0:01,82.94,S1,3.46,Y,ugashik,moss,6293.26
56,MAGO_7H,2009,spring,4/16/2009 13:17,4/16/2009 16:45,4/16/2009 5:17,4/16/2009 8:45,3.47,N1,NA,N,moss,bodega,56.89
57,MAGO_7H,2009,spring,4/19/2009 1:38,4/19/2009 19:16,4/18/2009 17:38,4/19/2009 11:16,17.62,N2,NA,N,bodega,grays,264.89
58,MAGO_7H,2009,spring,4/30/2009 20:09,5/2/2009 18:04,4/30/2009 12:09,5/2/2009 9:04,45.92,N3,16.20,Y,grays,ugashik,2131.86
59,MAGO_7H,2009,fall,7/30/2009 13:56,8/2/2009 14:03,7/30/2009 4:56,8/2/2009 6:03,72.12,S1,NA,N,ugashik,ptarena,5.24
60,MAGO_7H,2009,fall,8/2/2009 19:17,8/2/2009 20:59,8/2/2009 11:17,8/2/2009 12:59,1.69,S2,NA,N,ptarena,bodega,101.10
61,MAGO_7H,2009,fall,8/7/2009 2:04,8/7/2009 2:17,8/6/2009 18:04,8/6/2009 18:17,0.20,S3,NA,N,bodega,dillon,64.35
62,MAGO_7H,2009,fall,8/9/2009 18:38,8/9/2009 22:24,8/9/2009 10:38,8/9/2009 14:24,3.77,S4,10.35,Y,dillon,moss,6120.30
63,MAGO_7H,2010,spring,4/21/2010 22:42,4/22/2010 2:25,4/21/2010 14:42,4/21/2010 18:25,3.71,N1,NA,N,moss,bodega,91.28
